Id,GaiaEDR3,Name,RAJ2000_deg,DEJ2000_deg,RAGdeg_deg,DEGdeg_deg,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag
175718,3113277073955204736,L98-675,103.05557544231,-0.32787900501,103.05557347097201,-0.32788347311604099,17.316,0.0080,15.314,0.0028,13.417,0.0022,12.319,0.0024,11.315,0.0024
175825,3113277073955197952,L98-676,103.05718876918,-0.32226427449,103.057186376055,-0.322257469609223,14.936,0.0050,14.256,0.0024,13.088,0.0022,12.393,0.0022,11.713,0.0024
175669,3113277073955208704,L98-S782,103.05341320038,-0.33082290543,103.053390894956,-0.33082384437504397,19.587,0.0262,18.800,0.0034,17.735,0.0022,17.097,0.0026,16.522,0.0024
175841,3113277073955580160,L98-670,103.0479619503,-0.32121487988,103.047954178587,-0.321220500562101,14.633,0.0048,13.290,0.0026,11.942,0.0022,11.210,0.0024,10.554,0.0022
175715,3113277073955211776,L98-S432,103.04672918717,-0.32795405176,103.0467340505,-0.32796419765566698,16.232,0.0052,16.144,0.0018,15.478,0.0012,15.065,0.0016,14.647,0.0016
175930,3113277108314932480,L98-S449,103.05496286949,-0.31637484339,103.054968238279,-0.316377084696545,18.586,0.0098,18.279,0.0028,17.302,0.0018,16.711,0.0024,16.116,0.0020
175675,3113277073955213440,L98-S431,103.04660391808,-0.33001960754,103.046603166205,-0.330019078732837,18.641,0.0168,18.094,0.0026,17.253,0.0018,16.772,0.0024,16.217,0.0022
175958,3113277108314930432,L98-S786,103.05724012057,-0.31520816379,103.057237524176,-0.315212029736332,20.872,0.0394,19.562,0.0048,18.268,0.0028,17.440,0.0030,16.700,0.0024
176002,3113277177034794752,L98-S784,103.05498451392,-0.31213817702,103.054989287871,-0.312135654543166,19.706,0.0210,19.402,0.0052,18.240,0.0028,17.519,0.0030,16.774,0.0026
176057,3113277172732249600,L98-S439,103.05153861046,-0.308194863,103.051538284665,-0.308198308957468,18.456,0.0094,18.138,0.0032,17.169,0.0022,16.580,0.0024,15.987,0.0020